race_id,season_year,round_number,race_name,race_date,circuit_id,race_url
1084,2023,5,Miami Grand Prix,2023-05-07,miami,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix
1085,2023,6,Monaco Grand Prix,2023-05-28,monaco,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix
1086,2023,7,Spanish Grand Prix,2023-06-04,catalunya,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix
1087,2023,8,Canadian Grand Prix,2023-06-18,villeneuve,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix
1088,2023,9,Austrian Grand Prix,2023-07-02,red_bull_ring,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix
1089,2023,10,British Grand Prix,2023-07-09,silverstone,https://en.wikipedia.org/wiki/2023_British_Grand_Prix
1090,2023,11,Hungarian Grand Prix,2023-07-23,hungaroring,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix
1091,2023,12,Belgian Grand Prix,2023-07-30,spa,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix
1092,2023,13,Dutch Grand Prix,2023-08-27,zandvoort,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix
1093,2023,14,Italian Grand Prix,2023-09-03,monza,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix
1094,2023,15,Singapore Grand Prix,2023-09-17,marina_bay,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix
1095,2023,16,Japanese Grand Prix,2023-09-24,suzuka,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix
1096,2023,17,Qatar Grand Prix,2023-10-08,losail,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix
1097,2023,18,United States Grand Prix,2023-10-22,americas,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix
1098,2023,19,Mexico City Grand Prix,2023-10-29,rodriguez,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix
1099,2023,20,São Paulo Grand Prix,2023-11-05,interlagos,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix
1100,2023,21,Las Vegas Grand Prix,2023-11-19,vegas,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix
1101,2023,22,Abu Dhabi Grand Prix,2023-11-26,yas_marina,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix
1102,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix
1103,2024,2,Saudi Arabian Grand Prix,2024-03-09,jeddah,https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix
1104,2024,3,Australian Grand Prix,2024-03-24,albert_park,https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix
1105,2024,4,Japanese Grand Prix,2024-04-07,suzuka,https://en.wikipedia.org/wiki/2024_Japanese_Grand_Prix
1106,2024,5,Chinese Grand Prix,2024-04-21,shanghai,https://en.wikipedia.org/wiki/2024_Chinese_Grand_Prix
1107,2024,6,Miami Grand Prix,2024-05-05,miami,https://en.wikipedia.org/wiki/2024_Miami_Grand_Prix
1108,2024,7,Emilia Romagna Grand Prix,2024-05-19,imola,https://en.wikipedia.org/wiki/2024_Emilia_Romagna_Grand_Prix
1109,2024,8,Monaco Grand Prix,2024-05-26,monaco,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix
1110,2024,9,Canadian Grand Prix,2024-06-09,villeneuve,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix
1111,2024,10,Spanish Grand Prix,2024-06-23,catalunya,https://en.wikipedia.org/wiki/2024_Spanish_Grand_Prix
1112,2024,11,Austrian Grand Prix,2024-06-30,red_bull_ring,https://en.wikipedia.org/wiki/2024_Austrian_Grand_Prix
1113,2024,12,British Grand Prix,2024-07-07,silverstone,https://en.wikipedia.org/wiki/2024_British_Grand_Prix
1114,2024,13,Hungarian Grand Prix,2024-07-21,hungaroring,https://en.wikipedia.org/wiki/2024_Hungarian_Grand_Prix
1115,2024,14,Belgian Grand Prix,2024-07-28,spa,https://en.wikipedia.org/wiki/2024_Belgian_Grand_Prix
1116,2024,15,Dutch Grand Prix,2024-08-25,zandvoort,https://en.wikipedia.org/wiki/2024_Dutch_Grand_Prix
1117,2024,16,Italian Grand Prix,2024-09-01,monza,https://en.wikipedia.org/wiki/2024_Italian_Grand_Prix
1118,2024,17,Azerbaijan Grand Prix,2024-09-15,baku,https://en.wikipedia.org/wiki/2024_Azerbaijan_Grand_Prix
1119,2024,18,Singapore Grand Prix,2024-09-22,marina_bay,https://en.wikipedia.org/wiki/2024_Singapore_Grand_Prix
1120,2024,19,United States Grand Prix,2024-10-20,americas,https://en.wikipedia.org/wiki/2024_United_States_Grand_Prix
1121,2024,20,Mexico City Grand Prix,2024-10-27,rodriguez,https://en.wikipedia.org/wiki/2024_Mexico_City_Grand_Prix
1122,2024,21,São Paulo Grand Prix,2024-11-03,interlagos,https://en.wikipedia.org/wiki/2024_S%C3%A3o_Paulo_Grand_Prix
1123,2024,22,Las Vegas Grand Prix,2024-11-23,vegas,https://en.wikipedia.org/wiki/2024_Las_Vegas_Grand_Prix
1124,2024,23,Qatar Grand Prix,2024-12-01,losail,https://en.wikipedia.org/wiki/2024_Qatar_Grand_Prix
1125,2024,24,Abu Dhabi Grand Prix,2024-12-08,yas_marina,https://en.wikipedia.org/wiki/2024_Abu_Dhabi_Grand_Prix
1126,2025,1,Australian Grand Prix,2025-03-16,albert_park,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix
1127,2025,2,Chinese Grand Prix,2025-03-23,shanghai,https://en.wikipedia.org/wiki/2025_Chinese_Grand_Prix
1128,2025,3,Japanese Grand Prix,2025-04-06,suzuka,https://en.wikipedia.org/wiki/2025_Japanese_Grand_Prix
1129,2025,4,Bahrain Grand Prix,2025-04-13,bahrain,https://en.wikipedia.org/wiki/2025_Bahrain_Grand_Prix
1130,2025,5,Saudi Arabian Grand Prix,2025-04-20,jeddah,https://en.wikipedia.org/wiki/2025_Saudi_Arabian_Grand_Prix
1131,2025,6,Miami Grand Prix,2025-05-04,miami,https://en.wikipedia.org/wiki/2025_Miami_Grand_Prix
1132,2025,7,Emilia Romagna Grand Prix,2025-05-18,imola,https://en.wikipedia.org/wiki/2025_Emilia_Romagna_Grand_Prix
1133,2025,8,Monaco Grand Prix,2025-05-25,monaco,https://en.wikipedia.org/wiki/2025_Monaco_Grand_Prix
1134,2025,9,Spanish Grand Prix,2025-06-01,catalunya,https://en.wikipedia.org/wiki/2025_Spanish_Grand_Prix
1135,2025,10,Canadian Grand Prix,2025-06-15,villeneuve,https://en.wikipedia.org/wiki/2025_Canadian_Grand_Prix
1136,2025,11,Austrian Grand Prix,2025-06-29,red_bull_ring,https://en.wikipedia.org/wiki/2025_Austrian_Grand_Prix
1137,2025,12,British Grand Prix,2025-07-06,silverstone,https://en.wikipedia.org/wiki/2025_British_Grand_Prix
1138,2025,13,Belgian Grand Prix,2025-07-27,spa,https://en.wikipedia.org/wiki/2025_Belgian_Grand_Prix
1139,2025,14,Hungarian Grand Prix,2025-08-03,hungaroring,https://en.wikipedia.org/wiki/2025_Hungarian_Grand_Prix
1140,2025,15,Dutch Grand Prix,2025-08-31,zandvoort,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix
1141,2025,16,Italian Grand Prix,2025-09-07,monza,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix
1142,2025,17,Azerbaijan Grand Prix,2025-09-21,baku,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix
1143,2025,18,Singapore Grand Prix,2025-10-05,marina_bay,https://en.wikipedia.org/wiki/2025_Singapore_Grand_Prix
1144,2025,19,United States Grand Prix,2025-10-19,americas,https://en.wikipedia.org/wiki/2025_United_States_Grand_Prix
1145,2025,20,Mexico City Grand Prix,2025-10-26,rodriguez,https://en.wikipedia.org/wiki/2025_Mexico_City_Grand_Prix
1146,2025,21,São Paulo Grand Prix,2025-11-09,interlagos,https://en.wikipedia.org/wiki/2025_S%C3%A3o_Paulo_Grand_Prix
1147,2025,22,Las Vegas Grand Prix,2025-11-23,vegas,https://en.wikipedia.org/wiki/2025_Las_Vegas_Grand_Prix
1148,2025,23,Qatar Grand Prix,2025-11-30,losail,https://en.wikipedia.org/wiki/2025_Qatar_Grand_Prix
1149,2025,24,Abu Dhabi Grand Prix,2025-12-07,yas_marina,https://en.wikipedia.org/wiki/2025_Abu_Dhabi_Grand_Prix
1150,2026,1,Australian Grand Prix,2026-03-08,albert_park,https://en.wikipedia.org/wiki/2026_Australian_Grand_Prix
1151,2026,2,Chinese Grand Prix,2026-03-15,shanghai,https://en.wikipedia.org/wiki/2026_Chinese_Grand_Prix
1152,2026,3,Japanese Grand Prix,2026-03-29,suzuka,https://en.wikipedia.org/wiki/2026_Japanese_Grand_Prix
1153,2026,4,Miami Grand Prix,2026-05-03,miami,https://en.wikipedia.org/wiki/2026_Miami_Grand_Prix
1154,2026,5,Canadian Grand Prix,2026-05-24,villeneuve,https://en.wikipedia.org/wiki/2026_Canadian_Grand_Prix
1155,2026,6,Monaco Grand Prix,2026-06-07,monaco,https://en.wikipedia.org/wiki/2026_Monaco_Grand_Prix
1156,2026,7,Barcelona Grand Prix,2026-06-14,catalunya,https://en.wikipedia.org/wiki/2026_Barcelona-Catalunya
1157,2026,8,Austrian Grand Prix,2026-06-28,red_bull_ring,https://en.wikipedia.org/wiki/2026_Austrian_Grand_Prix
1158,2026,9,British Grand Prix,2026-07-05,silverstone,https://en.wikipedia.org/wiki/2026_British_Grand_Prix
1159,2026,10,Belgian Grand Prix,2026-07-19,spa,https://en.wikipedia.org/wiki/2026_Belgian_Grand_Prix
1160,2026,11,Hungarian Grand Prix,2026-07-26,hungaroring,https://en.wikipedia.org/wiki/2026_Hungarian_Grand_Prix
1161,2026,12,Dutch Grand Prix,2026-08-23,zandvoort,https://en.wikipedia.org/wiki/2026_Dutch_Grand_Prix
1162,2026,13,Italian Grand Prix,2026-09-06,monza,https://en.wikipedia.org/wiki/2026_Italian_Grand_Prix
1163,2026,14,Spanish Grand Prix,2026-09-13,madring,https://en.wikipedia.org/wiki/2026_Spanish_Grand_Prix
1164,2026,15,Azerbaijan Grand Prix,2026-09-26,baku,https://en.wikipedia.org/wiki/2026_Azerbaijan_Grand_Prix
1165,2026,16,Bahrain Grand Prix in Malaysia,2026-10-04,sepang,https://en.wikipedia.org/wiki/2026_Bahrain_Grand_Prix
1166,2026,17,Singapore Grand Prix,2026-10-11,marina_bay,https://en.wikipedia.org/wiki/2026_Singapore_Grand_Prix
1167,2026,18,United States Grand Prix,2026-10-25,americas,https://en.wikipedia.org/wiki/2026_United_States_Grand_Prix
1168,2026,19,Mexico City Grand Prix,2026-11-01,rodriguez,https://en.wikipedia.org/wiki/2026_Mexico_City_Grand_Prix
1169,2026,20,Brazilian Grand Prix,2026-11-08,interlagos,https://en.wikipedia.org/wiki/2026_Brazilian_Grand_Prix
1170,2026,21,Las Vegas Grand Prix,2026-11-22,vegas,https://en.wikipedia.org/wiki/2026_Las_Vegas_Grand_Prix
1171,2026,22,Qatar Grand Prix,2026-11-29,losail,https://en.wikipedia.org/wiki/2026_Qatar_Grand_Prix
1172,2026,23,Abu Dhabi Grand Prix,2026-12-06,yas_marina,https://en.wikipedia.org/wiki/2026_Abu_Dhabi_Grand_Prix
